area	company	pay
마포구	싸움의고수 홍대점	7500
강남구	㈜유니토스	10251
관악구	신세계푸드/ 베키아누에보	6030
중구	자니로켓(신세계백화점 본점-회현역) 사원 	6150
노원구	sioko	6100
성동구	㈜니트빈	70000
강남구	㈜리서치맥스	6050
마포구	경성함바그 홍대점	7000
마포구	㈜ 아이에스티솔루션	7000
관악구	남고집 신림점	7000
중구	㈜한국에스웨이	10000
성동구	㈜랠리유통	7000
송파구	미도	35000
관악구	미도	35000
서초구	미도	35000
강남구	에잇세컨즈/가로수길점	8000
강서구	메가박스 화곡점	7236
영등포구	에잇세컨즈/ IFC몰점, 타임스퀘어점	8000
관악구	O bar	15000
성동구	일미락	7500
서초구	위드미 반포서래마을점	8000
강남구	유BAR	27000
마포구	나쁜여자Bar	30000
마포구	포베이 합정점	6800
서초구	㈜디지털포토	6500
강남구	㈜엑스뻬제	8000
성북구	선술집 모로미	7000
강남구	웨알유	8000
서초구	아리스타커피 삼성타운직영점	6500
강남구	홈플러스익스프레스 대치역점	7020
송파구	㈜한국에스웨이	8000
송파구	㈜한국에스웨이	8000
성동구	㈜이랜드파크 애슐리 한양대점	7000
송파구	아비꼬 롯데월드몰점	7500
마포구	지로우라멘	6700
노원구	해신횟집	6500
강남구	㈜플레이	7500
마포구	유아영어 화상수업 선생님 모집	9500
강남구	커피양탕국	6300
서초구	윙스터디	7236
영등포구	아비꼬 여의도IFCMALL점	7500
서초구	아비꼬 센트럴시티점	7500
서초구	아비꼬 센트럴시티점	7500
중구	아비꼬 롯데영플라자	7500
영등포구	아비꼬 타임스퀘어	7500
구로구	아비꼬 디큐브시티점	7500
마포구	아비꼬 홍대점	7500
강남구	깐부치킨 압구정현대점	7000
강남구	UBIQUITOUS STUDY ACADEMY	30000
관악구	수애리	15000
강남구	빌보드	22000
강남구	GS수퍼마켓 신사점	6500
용산구	㈜한국에스웨이	7000
서초구	서래통 서래마을점	7500
강남구	포메인 GS타워점	6500
영등포구	㈜유니에스	7460
종로구	㈜웅진/웅진씽크빅	8500
중구	이디야태평로점	8000
강남구	M노래방	9000
강남구	㈜휴롬팜	6500
동대문구	달래진족	9000
은평구	메가박스 은평점	7236
용산구	데일리	6030
중구	아리스타커피 충무로직영점	6800
마포구	하늘눈	7000
강서구	㈜유니에스	6030
동작구	CU동작중심	6400
강남구	르지우 시그니처 랩	7000
관악구	신림 노랑통닭	9500
강남구	코드케이	7000
영등포구	렐란디	6100
마포구	MMTH085(마포점)	6100
중구	파트타임가능/충정로/3개월단기직	10000
구로구	죠스떡볶이 이마트구로점	6700
마포구	홍대 젠 클럽 주말알바 구인	6500
강남구	㈜명인에듀 강남지점 명인스카이수학학원	6500
강남구	애크미키친	7300
동작구	스쿨스토어 이수역점	6800
동대문구	우리은행	7100
동작구	카페 앤츠	7236
용산구	한샘마트	7000
중구	㈜골든캐슬/반얀트리 호텔 서울	7200
종로구	드롭탑직영점	6030
강남구	라떼킹(양재점)	6100
관악구	refresh	6100
광진구	우리은행	7100
강남구	맥주야	7500
서초구	할리스커피 논현역점	6500
강남구	한국리서치	6500
성북구	㈜ 미술넷 커뮤니케이션 / 미술용품 쇼핑몰	6500
송파구	아이스팩토리	6300
중구	커피공장	6500
중구	아리스타커피	7500
용산구	FEASTANDFETES	7000
영등포구	이닌스페이스	30000
강남구	강남스크린골프	7500
성동구	오마이데이터	7000
